[2026-08-25T14:22:46.676Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:22:46.677Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:22:46.677Z] GET http://localhost:8899/styles.css → 304 (?ms, ?B)
[2026-08-25T14:22:46.677Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:22:46.677Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:22:46.677Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:22:49.416Z] GET http://localhost:8899/ → 200 (1ms, ?B)
[2026-08-25T14:22:49.421Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:22:49.423Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:22:49.423Z] GET http://localhost:8899/styles.css → 200 (?ms, -187B)
[2026-08-25T14:22:49.423Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:22:49.424Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:22:49.424Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:23:57.199Z] GET http://localhost:8899/ → 200 (4ms, ?B)
[2026-08-25T14:23:57.217Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 304 (5ms, ?B)
[2026-08-25T14:23:57.218Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 304 (5ms, ?B)
[2026-08-25T14:23:57.221Z] GET http://localhost:8899/styles.css → 304 (1ms, ?B)
[2026-08-25T14:23:57.221Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 304 (2ms, ?B)
[2026-08-25T14:23:57.221Z] GET http://localhost:8899/assets/mms_logo.svg → 304 (2ms, ?B)
[2026-08-25T14:23:57.221Z] GET http://localhost:8899/script.js → 304 (2ms, ?B)
[2026-08-25T14:25:59.157Z] GET http://localhost:8899/ → 200 (4ms, 28348B)
[2026-08-25T14:25:59.175Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (41ms, ?B)
[2026-08-25T14:25:59.175Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (40ms, ?B)
[2026-08-25T14:25:59.176Z] GET http://localhost:8899/styles.css → 200 (?ms, 27310B)
[2026-08-25T14:25:59.176Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 304 (1ms, ?B)
[2026-08-25T14:25:59.176Z] GET http://localhost:8899/assets/mms_logo.svg → 304 (2ms, ?B)
[2026-08-25T14:25:59.176Z] GET http://localhost:8899/script.js → 304 (2ms, ?B)
[2026-08-25T14:26:39.341Z] GET http://localhost:8899/ → 200 (3ms, ?B)
[2026-08-25T14:26:39.347Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:26:39.348Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:26:39.348Z] GET http://localhost:8899/styles.css → 304 (?ms, ?B)
[2026-08-25T14:26:39.348Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:26:39.348Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:26:39.348Z] GET http://localhost:8899/script.js → 304 (?ms, ?B)
[2026-08-25T14:27:16.695Z] GET http://localhost:8899/ → 200 (2ms, ?B)
[2026-08-25T14:27:16.702Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 304 (1ms, ?B)
[2026-08-25T14:27:16.702Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 304 (1ms, ?B)
[2026-08-25T14:27:16.702Z] GET http://localhost:8899/styles.css → 200 (1ms, 27568B)
[2026-08-25T14:27:16.702Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:27:16.702Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:27:16.702Z] GET http://localhost:8899/script.js → 304 (1ms, ?B)
[2026-08-25T14:27:52.812Z] GET http://localhost:8899/ → 200 (4ms, ?B)
[2026-08-25T14:27:52.819Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:27:52.820Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:27:52.820Z] GET http://localhost:8899/styles.css → 200 (2ms, 27675B)
[2026-08-25T14:27:52.820Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 304 (1ms, ?B)
[2026-08-25T14:27:52.820Z] GET http://localhost:8899/assets/mms_logo.svg → 304 (2ms, ?B)
